	Cardio	CparvumIowaII	CveliaCCMP	Neph10	Pfalciparum3D7	Tgondii	Total
OG0001914	3	0	0	4	1	4	12
OG0001915	1	0	1	8	1	1	12
OG0001916	1	0	1	10	0	0	12
OG0001917	2	1	1	6	1	1	12
OG0001918	1	0	1	8	1	1	12
OG0001919	2	0	0	10	0	0	12
OG0001920	3	1	1	5	0	2	12
OG0001921	2	0	1	7	0	2	12
OG0001922	2	1	4	4	0	1	12
OG0001923	1	0	1	8	1	1	12
OG0001924	3	1	2	4	1	1	12
OG0001925	1	0	1	8	1	1	12
OG0001926	4	0	1	5	1	1	12
OG0001927	1	1	1	7	1	1	12
OG0001928	2	1	1	6	1	1	12
OG0001929	1	1	2	6	1	1	12
OG0001930	1	0	1	8	1	1	12
OG0001931	2	1	1	6	1	1	12
OG0001932	2	0	1	8	0	1	12
OG0001933	3	2	3	0	1	3	12
OG0001934	1	1	3	4	1	2	12
OG0001935	1	1	1	7	1	1	12
OG0001936	2	1	1	6	1	1	12
OG0001937	2	1	1	6	1	1	12
OG0001938	1	1	0	10	0	0	12
OG0001939	2	2	1	6	0	1	12
OG0001940	2	0	1	8	0	1	12
OG0001941	4	0	0	6	1	1	12
OG0001942	1	1	2	6	1	1	12
OG0001943	1	0	1	8	1	1	12
OG0001944	4	0	2	4	1	1	12
OG0001945	2	1	2	4	1	2	12
OG0001946	4	0	2	4	1	1	12
OG0001947	1	2	1	6	1	1	12
OG0001948	1	0	1	8	1	1	12
OG0001949	4	1	3	2	1	1	12
OG0001950	2	0	0	10	0	0	12
OG0001951	2	1	1	6	1	1	12
OG0001952	1	0	2	8	0	1	12
OG0001953	1	0	2	9	0	0	12
OG0001954	1	1	1	7	1	1	12
OG0001955	1	1	4	4	1	1	12
OG0001956	1	0	5	5	0	1	12
OG0001957	1	0	1	8	1	1	12
OG0001958	2	0	4	4	1	1	12
OG0001959	1	1	2	6	1	1	12
OG0001960	2	1	4	4	0	1	12
OG0001961	3	0	1	6	1	1	12
OG0001962	2	1	2	4	2	1	12
OG0001963	4	0	1	4	2	1	12
OG0001964	5	1	2	4	0	0	12
OG0001965	4	1	1	6	0	0	12
OG0001966	1	1	1	7	1	1	12
OG0001967	2	0	1	8	0	1	12
OG0001968	2	0	1	7	1	1	12
OG0001969	6	0	1	4	0	1	12
OG0001970	1	1	1	8	0	1	12
OG0001971	2	1	1	6	1	1	12
OG0001972	1	0	0	10	0	1	12
OG0001973	1	1	1	7	1	1	12
OG0001974	2	0	5	4	1	0	12
OG0001975	2	0	2	6	1	1	12
OG0001976	1	0	1	8	1	1	12
OG0001977	3	0	1	6	1	1	12
OG0001978	1	1	3	5	1	1	12
OG0001979	1	0	1	8	1	1	12
OG0001980	0	1	1	8	1	1	12
OG0001981	0	3	4	0	4	1	12
OG0001982	0	1	1	8	1	1	12
OG0001983	0	0	1	8	2	1	12
OG0001984	0	0	1	9	1	1	12
OG0001985	0	0	1	11	0	0	12
OG0001986	0	0	3	7	1	1	12
OG0001987	0	0	1	9	1	1	12
OG0001988	0	0	1	10	0	1	12
OG0001989	0	0	1	11	0	0	12
OG0001990	0	0	0	3	9	0	12
OG0001991	0	0	0	11	0	1	12
OG0001992	0	0	0	0	10	2	12
OG0001993	1	0	0	8	1	1	11
OG0001994	3	0	0	7	0	1	11
OG0001995	3	1	1	4	1	1	11
OG0001996	2	0	0	7	1	1	11
OG0001997	5	1	1	2	1	1	11
OG0001998	1	1	1	6	1	1	11
OG0001999	1	1	3	0	3	3	11
OG0002000	2	0	1	6	1	1	11
OG0002001	2	1	2	4	1	1	11
OG0002002	2	0	1	8	0	0	11
OG0002003	2	1	2	4	1	1	11
OG0002004	2	0	2	5	1	1	11
OG0002005	5	0	1	4	0	1	11
OG0002006	2	0	2	3	0	4	11
OG0002007	1	1	1	6	1	1	11
OG0002008	3	1	1	4	1	1	11
OG0002009	1	1	1	6	1	1	11
OG0002010	2	0	1	6	1	1	11
OG0002011	3	0	2	4	1	1	11
OG0002012	1	0	1	8	0	1	11
OG0002013	2	1	0	6	1	1	11
OG0002014	2	0	1	6	1	1	11
OG0002015	1	1	1	6	1	1	11
OG0002016	4	0	1	4	1	1	11
OG0002017	1	1	1	6	1	1	11
OG0002018	3	0	1	5	1	1	11
OG0002019	1	1	1	6	1	1	11
OG0002020	3	0	1	5	1	1	11
OG0002021	2	0	2	5	1	1	11
OG0002022	1	1	1	6	1	1	11
OG0002023	1	1	1	6	1	1	11
OG0002024	1	0	2	8	0	0	11
OG0002025	2	1	6	0	1	1	11
OG0002026	2	0	1	6	1	1	11
OG0002027	3	0	2	4	1	1	11
OG0002028	4	1	1	4	0	1	11
OG0002029	2	0	1	6	1	1	11
OG0002030	1	1	1	6	1	1	11
OG0002031	1	0	1	8	1	0	11
OG0002032	4	1	1	3	1	1	11
OG0002033	2	0	1	5	0	3	11
OG0002034	4	1	3	0	2	1	11
OG0002035	2	0	1	6	1	1	11
OG0002036	3	1	1	4	1	1	11
OG0002037	2	1	1	5	1	1	11
OG0002038	1	1	1	6	1	1	11
OG0002039	1	1	1	7	1	0	11
OG0002040	3	0	1	6	0	1	11
OG0002041	1	0	0	10	0	0	11
OG0002042	4	1	0	4	1	1	11
OG0002043	4	0	1	6	0	0	11
OG0002044	2	0	1	6	0	2	11
OG0002045	6	0	1	2	1	1	11
OG0002046	4	1	1	4	0	1	11
OG0002047	2	1	0	6	1	1	11
OG0002048	1	1	1	6	1	1	11
OG0002049	6	1	2	0	1	1	11
OG0002050	1	1	1	6	1	1	11
OG0002051	1	1	1	6	1	1	11
OG0002052	3	0	0	6	1	1	11
OG0002053	2	1	1	5	1	1	11
OG0002054	1	0	0	10	0	0	11
OG0002055	3	1	1	4	1	1	11
OG0002056	7	1	1	0	1	1	11
OG0002057	2	0	0	9	0	0	11
OG0002058	2	1	1	4	1	2	11
OG0002059	3	1	1	4	1	1	11
OG0002060	4	1	1	3	1	1	11
OG0002061	4	0	3	2	1	1	11
OG0002062	5	0	1	4	0	1	11
OG0002063	3	0	1	5	1	1	11
OG0002064	1	0	2	8	0	0	11
OG0002065	1	0	0	10	0	0	11
OG0002066	11	0	0	0	0	0	11
OG0002067	8	1	1	0	0	1	11
OG0002068	1	0	0	10	0	0	11
OG0002069	1	0	0	10	0	0	11
OG0002070	1	1	1	8	0	0	11
OG0002071	6	0	1	2	1	1	11
OG0002072	2	1	1	6	0	1	11
OG0002073	2	0	1	7	1	0	11
OG0002074	3	1	1	4	1	1	11
OG0002075	3	1	1	4	1	1	11
OG0002076	2	1	1	5	1	1	11
OG0002077	5	1	1	2	1	1	11
OG0002078	2	1	1	5	1	1	11
OG0002079	1	0	1	7	1	1	11
OG0002080	6	0	1	0	1	3	11
OG0002081	6	0	1	2	1	1	11
OG0002082	2	0	4	2	2	1	11
OG0002083	6	0	3	0	1	1	11
OG0002084	3	1	2	3	1	1	11
OG0002085	6	1	3	0	0	1	11
OG0002086	9	0	1	0	0	1	11
OG0002087	4	0	2	3	1	1	11
OG0002088	6	0	1	2	1	1	11
OG0002089	2	1	5	2	1	0	11
OG0002090	3	0	2	5	0	1	11
OG0002091	4	1	1	2	1	2	11
OG0002092	4	0	1	2	2	2	11
OG0002093	6	0	1	4	0	0	11
OG0002094	1	1	1	6	1	1	11
OG0002095	4	0	0	7	0	0	11
OG0002096	1	0	0	10	0	0	11
OG0002097	2	0	0	8	0	1	11
OG0002098	3	1	1	4	1	1	11
OG0002099	4	0	1	4	1	1	11
OG0002100	3	1	0	6	0	1	11
OG0002101	2	0	1	6	1	1	11
OG0002102	3	1	2	4	0	1	11
OG0002103	3	0	1	6	0	1	11
OG0002104	2	1	2	4	1	1	11
OG0002105	1	0	1	7	1	1	11
OG0002106	3	0	0	8	0	0	11
OG0002107	3	0	1	7	0	0	11
OG0002108	3	1	1	4	1	1	11
OG0002109	8	0	1	0	1	1	11
OG0002110	4	1	1	4	0	1	11
OG0002111	5	0	1	4	0	1	11
OG0002112	8	0	1	0	1	1	11
OG0002113	3	1	1	4	1	1	11
OG0002114	5	1	1	2	1	1	11
OG0002115	2	0	1	8	0	0	11
OG0002116	5	1	1	2	1	1	11
OG0002117	1	0	10	0	0	0	11
OG0002118	1	0	4	2	2	2	11
OG0002119	2	1	1	5	1	1	11
OG0002120	1	1	0	8	0	1	11
OG0002121	5	1	1	0	2	2	11
OG0002122	4	0	1	4	1	1	11
OG0002123	2	0	1	7	0	1	11
OG0002124	5	0	2	2	1	1	11
OG0002125	1	1	1	6	1	1	11
OG0002126	1	0	2	4	2	2	11
OG0002127	1	1	1	6	1	1	11
OG0002128	1	1	1	7	0	1	11
OG0002129	4	1	1	3	1	1	11
OG0002130	4	1	1	3	1	1	11
OG0002131	4	1	1	4	0	1	11
OG0002132	3	1	1	4	1	1	11
OG0002133	2	1	0	8	0	0	11
OG0002134	1	1	1	6	1	1	11
OG0002135	2	0	0	6	2	1	11
OG0002136	3	1	1	4	1	1	11
OG0002137	2	1	1	5	1	1	11
OG0002138	2	0	1	6	1	1	11
OG0002139	2	0	1	6	1	1	11
OG0002140	3	0	3	4	0	1	11
OG0002141	3	1	3	0	2	2	11
OG0002142	2	0	6	0	1	2	11
OG0002143	2	1	0	7	0	1	11
OG0002144	2	1	5	2	0	1	11
OG0002145	1	1	1	6	1	1	11
OG0002146	1	0	1	7	1	1	11
OG0002147	3	3	1	2	1	1	11
OG0002148	1	1	1	7	1	0	11
OG0002149	1	0	1	6	1	2	11
OG0002150	3	0	1	6	0	1	11
OG0002151	1	1	1	6	1	1	11
OG0002152	1	1	1	6	1	1	11
OG0002153	2	0	1	6	1	1	11
OG0002154	3	1	1	4	1	1	11
OG0002155	3	2	3	2	0	1	11
OG0002156	1	1	1	6	1	1	11
OG0002157	1	1	1	6	1	1	11
OG0002158	1	0	0	10	0	0	11
OG0002159	2	0	3	4	1	1	11
OG0002160	3	0	1	6	0	1	11
OG0002161	1	1	2	4	2	1	11
OG0002162	1	0	1	7	1	1	11
OG0002163	2	1	4	2	1	1	11
OG0002164	2	1	2	2	2	2	11
OG0002165	1	1	1	6	1	1	11
OG0002166	1	0	1	9	0	0	11
OG0002167	1	1	2	5	1	1	11
OG0002168	2	1	2	4	1	1	11
OG0002169	1	0	1	9	0	0	11
OG0002170	2	1	1	6	0	1	11
OG0002171	2	0	1	6	1	1	11
OG0002172	1	1	1	6	1	1	11
OG0002173	1	1	1	6	1	1	11
OG0002174	1	1	1	6	1	1	11
OG0002175	1	1	2	4	1	2	11
OG0002176	1	0	1	8	0	1	11
OG0002177	1	1	1	6	1	1	11
OG0002178	2	0	1	6	1	1	11
OG0002179	1	0	1	7	1	1	11
OG0002180	1	0	8	0	1	1	11
OG0002181	1	1	0	7	1	1	11
OG0002182	4	0	1	4	1	1	11
OG0002183	3	1	1	4	1	1	11
OG0002184	2	0	1	6	1	1	11
OG0002185	2	1	1	5	1	1	11
OG0002186	2	1	2	4	1	1	11
OG0002187	1	1	1	6	1	1	11
OG0002188	2	1	1	5	1	1	11
OG0002189	2	1	1	5	1	1	11
OG0002190	2	1	3	3	1	1	11
OG0002191	4	1	1	4	0	1	11
OG0002192	2	0	1	6	1	1	11
OG0002193	6	1	2	2	0	0	11
OG0002194	2	0	1	6	1	1	11
OG0002195	2	0	0	7	1	1	11
OG0002196	3	0	0	8	0	0	11
OG0002197	2	1	0	6	1	1	11
OG0002198	1	0	1	7	1	1	11
OG0002199	3	1	1	4	1	1	11
OG0002200	1	1	2	5	0	2	11
OG0002201	2	0	1	7	0	1	11
OG0002202	4	0	1	4	1	1	11
OG0002203	3	1	1	4	1	1	11
OG0002204	3	0	1	6	0	1	11
OG0002205	1	1	1	6	1	1	11
OG0002206	1	1	1	6	1	1	11
OG0002207	1	0	1	7	1	1	11
OG0002208	2	1	0	6	1	1	11
OG0002209	1	0	1	7	1	1	11
OG0002210	2	0	1	6	1	1	11
OG0002211	1	1	1	6	1	1	11
OG0002212	1	1	1	6	1	1	11
OG0002213	3	1	1	4	1	1	11
OG0002214	3	1	1	4	1	1	11
OG0002215	1	1	2	4	1	2	11
OG0002216	2	1	2	5	0	1	11
OG0002217	1	0	1	9	0	0	11
OG0002218	1	1	2	4	1	2	11
OG0002219	2	0	1	6	1	1	11
OG0002220	0	1	1	7	1	1	11
OG0002221	0	0	4	6	0	1	11
OG0002222	0	0	1	9	0	1	11
OG0002223	0	0	1	8	1	1	11
OG0002224	0	0	1	10	0	0	11
OG0002225	0	0	1	8	1	1	11
OG0002226	0	0	0	10	1	0	11
OG0002227	0	0	0	0	0	11	11
OG0002228	5	1	2	0	1	1	10
OG0002229	4	1	0	3	1	1	10
OG0002230	2	1	1	4	1	1	10
OG0002231	4	0	2	4	0	0	10
OG0002232	2	1	1	4	1	1	10
OG0002233	4	0	2	4	0	0	10
OG0002234	3	0	0	7	0	0	10
OG0002235	2	1	1	4	1	1	10
OG0002236	2	1	1	4	1	1	10
OG0002237	1	0	2	5	1	1	10
OG0002238	3	1	1	4	0	1	10
OG0002239	1	0	1	8	0	0	10
OG0002240	4	1	1	2	1	1	10
OG0002241	2	1	1	4	1	1	10
OG0002242	2	1	1	4	1	1	10
OG0002243	2	1	1	4	1	1	10
OG0002244	3	0	0	5	1	1	10
OG0002245	4	0	1	3	1	1	10
OG0002246	1	1	4	2	1	1	10
OG0002247	5	0	1	2	1	1	10
OG0002248	2	2	3	2	0	1	10
OG0002249	2	1	1	4	1	1	10
OG0002250	5	0	0	4	0	1	10
OG0002251	2	0	2	4	1	1	10
OG0002252	1	0	0	9	0	0	10
OG0002253	2	1	1	4	1	1	10
OG0002254	5	0	1	2	1	1	10
OG0002255	2	0	0	7	0	1	10
OG0002256	3	1	1	3	1	1	10
OG0002257	1	1	1	5	1	1	10
OG0002258	5	0	1	2	1	1	10
OG0002259	1	1	1	6	0	1	10
OG0002260	1	0	1	6	1	1	10
OG0002261	2	0	0	6	1	1	10
OG0002262	3	0	1	4	1	1	10
OG0002263	3	1	2	2	1	1	10
OG0002264	3	1	1	3	1	1	10
OG0002265	1	1	2	4	1	1	10
OG0002266	4	0	2	2	1	1	10
OG0002267	2	1	2	3	1	1	10
OG0002268	1	0	1	6	1	1	10
OG0002269	2	0	1	7	0	0	10
OG0002270	1	0	0	8	0	1	10
OG0002271	2	1	1	4	1	1	10
OG0002272	4	0	0	4	1	1	10
OG0002273	3	0	2	5	0	0	10
OG0002274	1	1	0	4	1	3	10
OG0002275	2	1	1	4	1	1	10
OG0002276	2	1	1	4	1	1	10
OG0002277	2	0	3	3	1	1	10
OG0002278	2	0	1	6	0	1	10
OG0002279	5	0	1	2	0	2	10
OG0002280	2	1	1	4	1	1	10
OG0002281	2	1	1	4	1	1	10
OG0002282	6	0	1	2	0	1	10
OG0002283	1	0	0	9	0	0	10
OG0002284	1	0	1	6	1	1	10
OG0002285	2	0	1	6	0	1	10
OG0002286	1	0	1	8	0	0	10
OG0002287	1	0	1	7	0	1	10
OG0002288	2	1	3	2	1	1	10
OG0002289	3	0	1	4	1	1	10
OG0002290	1	1	1	5	1	1	10
OG0002291	6	0	0	2	1	1	10
OG0002292	4	1	1	2	1	1	10
OG0002293	6	0	1	2	0	1	10
OG0002294	3	0	1	5	1	0	10
OG0002295	5	1	1	2	0	1	10
OG0002296	5	1	1	2	0	1	10
OG0002297	2	1	1	4	1	1	10
OG0002298	2	0	1	6	0	1	10
OG0002299	6	0	0	2	1	1	10
OG0002300	4	1	2	2	0	1	10
OG0002301	4	1	1	2	1	1	10
OG0002302	3	0	1	4	1	1	10
OG0002303	1	0	0	8	0	1	10
OG0002304	2	0	0	8	0	0	10
OG0002305	1	0	1	6	1	1	10
OG0002306	4	0	1	4	0	1	10
OG0002307	1	0	1	6	1	1	10
OG0002308	3	1	2	2	1	1	10
OG0002309	4	0	0	6	0	0	10
OG0002310	2	1	1	4	1	1	10
OG0002311	2	0	1	5	1	1	10
OG0002312	2	1	1	4	1	1	10
OG0002313	2	1	1	4	1	1	10
OG0002314	5	0	1	3	0	1	10
OG0002315	3	1	2	2	1	1	10
OG0002316	1	0	4	3	1	1	10
OG0002317	2	1	1	4	1	1	10
OG0002318	4	0	0	6	0	0	10
OG0002319	3	0	0	5	1	1	10
OG0002320	1	1	1	5	1	1	10
OG0002321	4	1	1	2	1	1	10
OG0002322	1	1	1	5	1	1	10
OG0002323	6	0	3	0	0	1	10
OG0002324	4	1	1	2	1	1	10
OG0002325	7	1	0	0	1	1	10
OG0002326	7	1	0	0	1	1	10
OG0002327	3	1	1	3	1	1	10
OG0002328	3	1	1	4	0	1	10
OG0002329	4	0	0	4	1	1	10
OG0002330	2	0	0	7	0	1	10
OG0002331	3	0	1	4	1	1	10
OG0002332	3	0	1	5	0	1	10
OG0002333	6	1	1	0	1	1	10
OG0002334	2	1	1	4	1	1	10
OG0002335	4	1	0	4	0	1	10
OG0002336	5	1	0	3	1	0	10
OG0002337	2	1	1	4	1	1	10
OG0002338	2	1	1	4	1	1	10
OG0002339	2	1	1	4	1	1	10
OG0002340	4	1	0	3	1	1	10
OG0002341	2	0	0	8	0	0	10
OG0002342	5	0	1	2	1	1	10
OG0002343	2	1	1	4	1	1	10
OG0002344	5	0	1	2	1	1	10
OG0002345	2	0	0	8	0	0	10
OG0002346	5	0	1	2	1	1	10
OG0002347	3	0	2	5	0	0	10
OG0002348	1	0	9	0	0	0	10
OG0002349	3	0	0	7	0	0	10
OG0002350	1	1	6	0	1	1	10
OG0002351	2	2	2	2	1	1	10
OG0002352	2	1	1	4	1	1	10
OG0002353	1	1	1	5	1	1	10
OG0002354	2	1	1	5	0	1	10
OG0002355	4	1	1	2	1	1	10
OG0002356	4	0	3	0	1	2	10
OG0002357	1	2	1	0	3	3	10
OG0002358	2	1	1	4	1	1	10
OG0002359	1	0	2	4	2	1	10
OG0002360	1	0	1	6	1	1	10
OG0002361	1	1	1	6	0	1	10
OG0002362	2	1	1	2	2	2	10
OG0002363	1	0	0	8	1	0	10
OG0002364	1	0	1	8	0	0	10
OG0002365	2	0	0	8	0	0	10
OG0002366	3	1	1	4	0	1	10
OG0002367	1	1	2	5	1	0	10
OG0002368	2	1	1	4	1	1	10
OG0002369	5	0	1	2	1	1	10
OG0002370	3	1	4	0	1	1	10
OG0002371	1	0	1	7	0	1	10
OG0002372	1	1	4	1	2	1	10
OG0002373	1	1	1	4	2	1	10
OG0002374	3	0	1	5	0	1	10
OG0002375	1	0	0	9	0	0	10
OG0002376	5	0	2	2	0	1	10
OG0002377	2	0	2	2	2	2	10
OG0002378	1	1	2	4	0	2	10
OG0002379	2	1	1	4	1	1	10
OG0002380	1	1	2	4	1	1	10
OG0002381	3	1	1	3	1	1	10
OG0002382	2	1	1	4	1	1	10
OG0002383	3	1	2	2	1	1	10
OG0002384	1	0	7	0	1	1	10
OG0002385	1	1	1	6	0	1	10
OG0002386	2	1	2	2	2	1	10
OG0002387	1	0	2	6	0	1	10
OG0002388	1	1	2	4	1	1	10
OG0002389	1	0	5	4	0	0	10
OG0002390	4	0	0	6	0	0	10
OG0002391	2	1	1	4	1	1	10
OG0002392	4	0	2	2	1	1	10
OG0002393	1	1	2	5	0	1	10
OG0002394	2	0	1	5	1	1	10
OG0002395	1	0	0	9	0	0	10
OG0002396	2	1	1	4	1	1	10
OG0002397	3	0	1	4	1	1	10
OG0002398	2	0	3	4	0	1	10
OG0002399	1	0	1	6	1	1	10
OG0002400	1	0	3	4	1	1	10
OG0002401	1	1	1	4	1	2	10
OG0002402	6	1	1	0	1	1	10
OG0002403	2	1	1	4	1	1	10
OG0002404	2	0	1	5	1	1	10
OG0002405	1	0	0	9	0	0	10
OG0002406	2	0	3	2	1	2	10
OG0002407	1	0	1	6	1	1	10
OG0002408	2	1	1	4	1	1	10
OG0002409	2	1	1	4	1	1	10
OG0002410	1	1	2	4	1	1	10
OG0002411	1	0	1	6	1	1	10
OG0002412	6	1	1	0	1	1	10
OG0002413	2	1	1	4	1	1	10
OG0002414	1	0	1	6	1	1	10
OG0002415	4	0	4	2	0	0	10
OG0002416	1	1	1	6	0	1	10
OG0002417	2	0	0	7	0	1	10
OG0002418	5	1	1	1	1	1	10
OG0002419	2	0	1	5	1	1	10
OG0002420	1	1	1	6	0	1	10
OG0002421	2	0	1	5	1	1	10
OG0002422	1	1	2	4	1	1	10
OG0002423	2	0	0	7	0	1	10
OG0002424	1	0	1	8	0	0	10
OG0002425	1	1	2	4	1	1	10
OG0002426	1	0	1	8	0	0	10
OG0002427	2	0	2	4	1	1	10
OG0002428	2	1	1	4	1	1	10
OG0002429	1	0	0	9	0	0	10
OG0002430	3	0	1	4	1	1	10
OG0002431	2	1	1	4	1	1	10
OG0002432	2	1	1	4	1	1	10
OG0002433	1	0	1	6	1	1	10
OG0002434	1	0	1	6	1	1	10
OG0002435	2	1	1	4	1	1	10
OG0002436	2	1	4	2	0	1	10
OG0002437	2	0	0	8	0	0	10
OG0002438	3	0	1	4	1	1	10
OG0002439	1	1	1	5	1	1	10
OG0002440	2	1	1	4	1	1	10
OG0002441	1	0	0	8	0	1	10
OG0002442	2	0	1	6	0	1	10
OG0002443	1	0	1	6	1	1	10
OG0002444	1	1	6	0	1	1	10
OG0002445	1	0	1	6	1	1	10
OG0002446	2	0	4	2	1	1	10
OG0002447	2	1	1	4	1	1	10
OG0002448	2	0	1	5	1	1	10
OG0002449	1	0	1	6	1	1	10
OG0002450	2	1	2	4	0	1	10
OG0002451	3	0	1	5	0	1	10
OG0002452	0	1	2	6	0	1	10
OG0002453	0	2	3	0	2	3	10
OG0002454	0	1	1	6	1	1	10
OG0002455	0	2	1	4	1	2	10
OG0002456	0	2	6	0	1	1	10
OG0002457	0	1	1	6	1	1	10
OG0002458	0	2	2	2	2	2	10
OG0002459	0	1	1	6	1	1	10
OG0002460	0	1	1	6	1	1	10
OG0002461	0	1	2	4	1	2	10
OG0002462	0	1	1	6	1	1	10
OG0002463	0	2	0	8	0	0	10
OG0002464	0	0	10	0	0	0	10
OG0002465	0	0	9	0	1	0	10
OG0002466	0	0	2	8	0	0	10
OG0002467	0	0	1	9	0	0	10
OG0002468	0	0	1	8	0	1	10
OG0002469	0	0	2	7	0	1	10
OG0002470	0	0	1	7	1	1	10
OG0002471	0	0	2	7	0	1	10
OG0002472	0	0	2	8	0	0	10
OG0002473	0	0	0	10	0	0	10
OG0002474	0	0	0	10	0	0	10
OG0002475	0	0	0	10	0	0	10
OG0002476	0	0	0	9	1	0	10
OG0002477	0	0	0	10	0	0	10
OG0002478	0	0	0	8	1	1	10
OG0002479	0	0	0	10	0	0	10
OG0002480	0	0	0	10	0	0	10
OG0002481	1	1	1	4	1	1	9
OG0002482	2	1	2	2	1	1	9
OG0002483	1	1	1	4	1	1	9
OG0002484	1	0	0	8	0	0	9
OG0002485	3	1	1	2	1	1	9
OG0002486	3	1	1	2	1	1	9
OG0002487	3	1	2	2	0	1	9
OG0002488	3	1	1	2	1	1	9
OG0002489	1	1	1	4	1	1	9
OG0002490	2	0	1	4	1	1	9
OG0002491	1	1	3	2	1	1	9
OG0002492	2	0	1	4	1	1	9
OG0002493	3	1	1	2	1	1	9
OG0002494	3	1	1	4	0	0	9
OG0002495	4	0	1	2	1	1	9
OG0002496	4	0	1	2	1	1	9
OG0002497	8	0	1	0	0	0	9
OG0002498	3	1	1	2	1	1	9
OG0002499	4	0	3	0	1	1	9
OG0002500	1	1	2	4	0	1	9
OG0002501	4	0	1	2	1	1	9
OG0002502	2	1	1	4	0	1	9
OG0002503	2	0	1	4	1	1	9
OG0002504	1	1	1	4	1	1	9
OG0002505	3	1	1	2	1	1	9
OG0002506	4	0	4	0	0	1	9
OG0002507	2	0	1	4	1	1	9
OG0002508	4	0	1	2	1	1	9
OG0002509	3	0	0	4	1	1	9
OG0002510	1	1	1	4	1	1	9
OG0002511	2	0	1	4	1	1	9
OG0002512	3	0	2	4	0	0	9
OG0002513	2	0	1	6	0	0	9
OG0002514	2	0	1	4	1	1	9
OG0002515	1	1	1	4	1	1	9
OG0002516	1	0	0	8	0	0	9
OG0002517	1	1	0	6	1	0	9
OG0002518	2	1	2	2	1	1	9
OG0002519	2	0	1	4	1	1	9
OG0002520	1	1	1	4	1	1	9
OG0002521	2	0	0	6	0	1	9
OG0002522	1	1	1	4	1	1	9
OG0002523	2	1	1	4	0	1	9
OG0002524	3	0	1	3	1	1	9
OG0002525	1	1	1	4	1	1	9
OG0002526	3	1	1	2	1	1	9
OG0002527	6	0	0	0	1	2	9
OG0002528	2	2	2	2	0	1	9
OG0002529	2	1	1	3	1	1	9
OG0002530	2	0	1	4	1	1	9
OG0002531	4	0	1	2	1	1	9
OG0002532	4	0	1	2	1	1	9
OG0002533	3	0	0	6	0	0	9
OG0002534	3	1	1	2	1	1	9
OG0002535	1	1	1	4	1	1	9
OG0002536	3	0	2	2	1	1	9
OG0002537	3	0	1	4	0	1	9
OG0002538	3	1	1	2	1	1	9
OG0002539	1	1	1	4	1	1	9
OG0002540	1	0	0	8	0	0	9
OG0002541	2	0	1	4	0	2	9
OG0002542	2	1	1	4	0	1	9
OG0002543	6	0	1	0	1	1	9
OG0002544	4	0	1	4	0	0	9
OG0002545	2	0	0	6	1	0	9
OG0002546	1	0	0	8	0	0	9
OG0002547	2	0	1	6	0	0	9
OG0002548	2	1	1	3	1	1	9
OG0002549	3	1	1	2	1	1	9
OG0002550	2	1	2	2	1	1	9
OG0002551	2	0	0	7	0	0	9
OG0002552	3	1	1	2	1	1	9
OG0002553	1	1	0	5	2	0	9
OG0002554	3	1	1	2	1	1	9
OG0002555	1	0	1	5	1	1	9
OG0002556	2	0	1	4	1	1	9
OG0002557	4	0	1	2	1	1	9
OG0002558	3	1	1	2	1	1	9
OG0002559	1	1	1	4	1	1	9
OG0002560	2	0	1	4	1	1	9
OG0002561	1	1	1	4	1	1	9
OG0002562	2	0	1	4	1	1	9
OG0002563	2	1	0	4	1	1	9
OG0002564	2	0	6	0	0	1	9
OG0002565	6	0	0	3	0	0	9
OG0002566	4	1	0	2	1	1	9
OG0002567	8	0	1	0	0	0	9
OG0002568	3	1	1	2	1	1	9
OG0002569	8	0	0	0	1	0	9
OG0002570	5	0	3	0	0	1	9
OG0002571	7	0	0	2	0	0	9
OG0002572	5	0	2	0	1	1	9
OG0002573	2	0	1	4	1	1	9
OG0002574	3	0	1	4	0	1	9
OG0002575	2	0	1	4	1	1	9
OG0002576	5	0	1	1	1	1	9
OG0002577	2	0	0	7	0	0	9
OG0002578	2	0	2	4	1	0	9
OG0002579	2	0	0	6	0	1	9
OG0002580	3	0	1	4	0	1	9
OG0002581	2	0	1	4	1	1	9
OG0002582	3	1	1	2	1	1	9
OG0002583	2	1	1	2	2	1	9
OG0002584	4	0	1	4	0	0	9
OG0002585	1	0	0	8	0	0	9
OG0002586	4	0	1	2	1	1	9
OG0002587	5	0	1	2	0	1	9
OG0002588	1	1	1	4	1	1	9
OG0002589	2	0	0	7	0	0	9
OG0002590	3	0	1	3	1	1	9
OG0002591	7	0	0	2	0	0	9
OG0002592	2	1	1	3	1	1	9
OG0002593	3	0	1	4	1	0	9
OG0002594	5	0	0	4	0	0	9
OG0002595	5	0	4	0	0	0	9
OG0002596	2	0	0	7	0	0	9
OG0002597	1	0	1	6	0	1	9
OG0002598	3	1	1	2	1	1	9
OG0002599	3	1	1	2	1	1	9
OG0002600	2	0	1	6	0	0	9
OG0002601	5	1	1	0	1	1	9
OG0002602	3	0	1	4	0	1	9
OG0002603	4	0	2	2	0	1	9
OG0002604	3	1	2	1	1	1	9
OG0002605	2	0	0	6	1	0	9
OG0002606	6	0	1	2	0	0	9
OG0002607	5	0	0	2	1	1	9
OG0002608	7	0	0	2	0	0	9
OG0002609	6	0	1	0	1	1	9
OG0002610	4	0	2	1	1	1	9
